id_orig,area_km2,ppl_per_km2,dwellings_per_km2,U7B001,U7B003,U7B004,U7C002,U7G001
482150213123016,0.028862270285171986,3707.262074077774,970.1246548988568,107,34,0,106,28
482150213123017,0.030673253476370833,3162.3642426690744,782.4406373614205,97,42,3,92,24
482150213123018,0.0316523826974926,2495.8626576399297,789.8299549493448,79,24,0,74,25
482150213123019,0.02943506908804399,3669.092798014451,951.2462809667095,108,22,0,108,28
482150213123020,0.030836307446293097,2334.909915053895,810.7326093937135,72,12,0,72,25
482150213123021,0.02969954493924492,3872.1132002274967,808.093189612695,115,22,0,109,24
482150213123022,0.01768112361899744,2205.742171164764,565.5749156832728,39,8,0,39,10
482150213123023,0.018502337158423563,3134.739114490427,648.5667133428469,58,20,0,57,12
482150213123024,0.02086565367075952,2156.654217982234,575.1077914619291,45,1,0,44,12
482150213123025,0.01958033246953484,3677.1592163731257,817.1464925273613,72,17,0,67,16
482150213142000,0.012909371100030752,542.2417518064319,154.9262148018377,7,2,0,7,2
482150213142001,0.022439479117904303,2584.7302290418233,713.0290287011926,58,24,0,56,16
482150213142002,0.02015808621635822,1686.668051474505,644.9024902696636,34,6,0,34,13
482150213142004,0.019702067189729302,3349.902290172162,812.097524890221,66,14,0,66,16
482150213142005,0.021948775823667024,2095.7888662928945,683.409412921596,46,13,0,46,15
482150213142006,0.021895792934125396,2055.1893295385457,593.721361866691,45,10,0,45,13
482150213142007,0.01968206606663712,3251.691147835632,914.5381353287714,64,9,0,64,18
482150213142008,0.019700534099831454,1624.3214441721036,710.6406318252953,32,7,0,32,14
482150213142009,0.021998326687896773,3136.6022052014987,818.2440535308258,69,31,0,67,18
482150213142010,0.22437752399470734,423.39356593595744,115.87613383510414,95,27,0,93,26
482150213143000,0.050268996257502904,2287.692386195908,636.5752726806005,115,31,0,115,32
482150213143001,0.08302421573727489,2155.997481101594,481.78714661488135,179,35,0,177,40
482150213143002,0.6049235356095425,1261.3164393267887,315.74238520500217,763,254,0,751,191
482150213143003,0.037382682779247944,4012.5531087690883,802.5106217538176,150,52,0,139,30
482150213143004,0.02708696546792314,3617.976333157486,849.1168945165527,98,24,1,95,23
482150213143005,0.012906974301273775,3254.054669951196,697.2974292752563,42,10,0,40,9
482150213143006,0.027606046131554214,3549.946976578591,796.9268722931531,98,42,0,98,22
482150213143007,0.027091755274151884,3912.6294670590837,922.7899686460103,106,20,0,101,25
482150213143008,0.027594043455737224,4385.00432870929,942.2323350945583,121,25,0,121,26
482150213143009,0.028592438914720273,4301.836592774035,944.3055935357639,123,55,1,121,27
482150213143010,0.0271202360935153,3834.774875904099,774.3295422498662,104,50,0,104,21
